username;created_at;full_text;label
ArdieSuhardi321;Wed Jan 29 05:33:56 +0000 2025;INDONESIA DARURAT KEDAULATAN.... NEGARA DIMANA RAKYAT SEMAKIN MENDERITA DENGAN PEMAGARAN LAUT... LAUT-LAUT DI REPOBLIK INI TELAH CAPLOK DI KAPLING-KAPLING OLEH OLIGARKI RAKUS...‼️ #AwasJokowiKudetaPrabowo #AwasJokowiKudetaPrabowo #BersatuTumbangkanAguan 🆘🆗 https://t.co/NVVaWY5qiD;intoleran
ArdieSuhardi321;Wed Jan 29 05:26:26 +0000 2025;TANGKAP AGUAN DALANG PEMAGARAN LAUT TANGERANG... MAHFUD MD HIMBAU PARA MENTERI TIDAK TAKUT PADA DALANG PAGAR LAUT TANGERANG...‼️ #AwasJokowiKudetaPrabowo #AwasJokowiKudetaPrabowo #BersatuTumbangkanAguan 🆘🆗 https://t.co/kSottaB94d;intoleran
ArdieSuhardi321;Wed Jan 29 05:21:51 +0000 2025;SAATNYA BANGKIT DAN BERSATU MELAWAN KEKUATAN OLIGARKI RAKUS BESERTA ANTEK-ANTEKNYA... 4 PUTRA SULAWESI YANG TERLIBAT LANGSUNG MENCABUT PAGAR LAUT DI TANGERANG....‼️ #AwasJokowiKudetaPrabowo #AwasJokowiKudetaPrabowo #BersatuTumbangkanAguan 🆘🆗 https://t.co/tusXa9ntUm;intoleran
ArdieSuhardi321;Sat Jan 25 03:05:01 +0000 2025;RAKUS DAN SERAKAH... JOKOWI AGUAN MAFIA TANAH... PRABOWO BENAR-BENAR GILA MEREKA LAUT JUGA BISA DIBELI....‼️ #JokowiAguanMafiaTanah #JokowiAguanMafiaTanah 🆘🆗 https://t.co/aKbVIEaajX;intoleran
ArdieSuhardi321;Sat Jan 25 02:59:45 +0000 2025;TANGKAP JOKOWI DAN SEMUA KELUARGANYA.... KPK MENANGKAP 2 ORANG KAKI TANGAN KAESANG DI SEMARANG... KASUS PENCUCIAN UANG...‼️ #JokowiAguanMafiaTanah #JokowiAguanMafiaTanah 🆘🆗 https://t.co/BAoIFnagaw;intoleran
ArdieSuhardi321;Wed Jan 22 10:29:30 +0000 2025;SELAMATKAN NKRI... JOKOWI AGUAN DAN HADI SANGAT LAYAK DIGANTUNG MATI....‼️ #KejarKoruptorKeAntartika #KejarKoruptorKeAntartika 🆘🆗 https://t.co/SYdq3AHvCh;intoleran
ArdieSuhardi321;Wed Jan 22 05:19:18 +0000 2025;SELALU DIPERSULIT... PRIA INI SEBUT SITEM PERPAJAKAN DI INDONESIA SANGAT TOLOL....‼️ #KejarKoruptorKeAntartika #KejarKoruptorKeAntartika 🆘🆗 https://t.co/gS4WBEhbuh;intoleran
ArdieSuhardi321;Tue Jan 21 05:15:40 +0000 2025;NAJIS... WASPADA ANJING-ANJING MULYONO BERMUKA DUA....‼️ #UsutKorupsiJokowi #UsutKorupsiJokowi 🆘🆗 https://t.co/zm96iF5k9a;intoleran
ArdieSuhardi321;Tue Jan 21 04:27:51 +0000 2025;DATA ADA DAN VALID PELAPORAN TEBTANG KEJAHATAN JOKOWI DAN KELUARGA TELAH BANYAK YANG MELAPORKAN.... KPK KOK GAK ADA INISIATIF DIKIT YA UNTUK MEMERIKSA JOKOWI DAN KELUARGANYA HERAN BIN AJAIB KPK...‼️ #UsutKorupsiJokowi #UsutKorupsiJokowi 🆘🆗 https://t.co/Sd0MktnQWW;intoleran
ArdieSuhardi321;Fri Jan 10 05:24:08 +0000 2025;PARA TERNAK JOKOWI PADA KEPANGGANG.... KETIKA BERITA KORUP JOKOWI MENDUNIA SALAH SATUNYA SINGAPURA YANG MEMBERITAKAN... EH.. PARA TERNAKNYA MINTA PUTUS HUBUNGAN DIPLOMATIK DGN SINGAPURA EDANNN....‼️ #RebutTanahRakyatPIK2 #GantungAguanCinaTamak 🆘🆗 https://t.co/UzfQKZgzAt;intoleran
ArdieSuhardi321;Wed Jan 08 05:42:31 +0000 2025;NGERI.... SELAIN JOKOWI SEBAGAI TOKOH TERKORUP DUNIA OCCRP JUGA SINGGUNG NAMA ANAKNYA GIBRAN WAKIL PRESIDEN.... BUAH JATUH TAK JAUH DARI POHONNYA....‼️ #AdiliJokowiKoruptor #AdiliJokowiKoruptor 🆘🆗 https://t.co/93WmW0Faae;intoleran
ArdieSuhardi321;Tue Jan 07 03:58:59 +0000 2025;BAJIGUR JUGA NIH ORANG... APA IYA... KALAU EMANG BENER BRENGSEK BENER NIH ORANG... DULU JOKOWI GUNAKAN DANA PENDIDIKAN UNTUK DANA DESA....‼️ #JokowiFufufafaMemalukan #JokowiFufufafaMemalukan #JokowiRajaKorup 🆘🆗 https://t.co/eivRPpjueP;intoleran
ArdieSuhardi321;Mon Jan 06 04:27:21 +0000 2025;JOKOWI DAN PARA TERNAKNYA MAKIN TERPOJOK... SERUAN ADILI JOKOWI MENGGEMA DI SEANTERO JAGAT NUSANTARA....‼️ #JokowiRajaKorup #JokowiRajaKorup 🆘🆗 https://t.co/qUUD7HkaBV;intoleran
ArdieSuhardi321;Mon Jan 06 04:17:59 +0000 2025;KONSPIRASI KORUPSI JOKOWI OCCRP MENILAI PEMERINTAHAN JOKOWI KORUP KARNA DIA MELAKUKAN PENYANDERAAN TERHADAP PIMPINAN PARTAI POLITIK....‼️ #JokowiRajaKorup #JokowiRajaKorup 🆘🆗 https://t.co/dzIDGzL0T9;intoleran
ArdieSuhardi321;Sat Jan 04 03:10:21 +0000 2025;MENURUT ICW SOAL JOKOWI MASUK DALAM NOMINASI PEMIMPIN TERKORUP DUNIA... KARENA JOKOWI SERING SEKALI MENGGUNAKAN HUKUM DAN KEKUASAAN UNTUK MELEGITIMASI HASRAT UNTUK KEKUASAANNYA....‼️ #BongkarKejahatanJokowi #BongkarKejahatanJokowi 🆘🆗 https://t.co/apJBVORobd;intoleran
ArdieSuhardi321;Sat Jan 04 02:51:52 +0000 2025;JOKOWI DAN PENDUKUNGNYA PANIK DAN SEWOT KALAU MERASA DIFITNAH SILAHKAN GUGAT OCCRP... PRESIDEN PRABOWO HARUS MENINDAKLANJUTI TEMUAN OCCRP....‼️ #BongkarKejahatanJokowi #BongkarKejahatanJokowi 🆘🆗 https://t.co/WYkEpNzDU2;intoleran
ArdieSuhardi321;Fri Jan 03 05:26:03 +0000 2025;RISET DAN INVESTIGASI OCCRP KREDIBEL TIDAK PERLU DIRAGUKAN.... PARA PENJILAT JOKOWI KEPANASAN SETELAH JUNJUNGANNYA DITETAPKAN SEBAGAI PEMIMPIN TERKORUP 2024 OLEH OCCRP.....‼️ #PrabowoKecewakanRakyat #PrabowoKecewakanRakyat 🆘🆗 https://t.co/GJ2EW3tRrC;intoleran
ArdieSuhardi321;Thu Jan 02 10:46:31 +0000 2025;KITA KETIPU PROGRAM MAKAN BERGIZI GRATIS PRABOWO... PULUHAN PEMILIK KATERING TERTIPU... RP. 72 JUTA DI JANJIKAN JADI PEMASOK MAKAN BERGIZI GRATIS....‼️ #JokowiHarusDisprindik #JokowiHarusDisprindik 🆘🆗 https://t.co/JKMzMScokL;intoleran
ArdieSuhardi321;Thu Jan 02 02:03:33 +0000 2025;MEMALUKAN... HARUS DI PECAT DENGAN TIDAK HORMAT... SOSOK KOMBES DANALD P SIMANJUNTAK DIDUGA PERANCANG PERAS PENONTON DPW....‼️ #JokowiHarusDisprindik #JokowiHarusDisprindik 🆘🆗 https://t.co/eEieepFPW9;intoleran
ArdieSuhardi321;Wed Jan 01 05:06:33 +0000 2025;STIKER VIRAL.... BERI KAMI 300 TRILIUN KAMI SIAP DI PENJARA 6 5 TAHUN....‼️ #JokowiTerkorupOCCRP #JokowiTerkorupOCCRP 🆘🆗 https://t.co/4LiHZfzFpt;intoleran
ArdieSuhardi321;Wed Jan 01 04:48:33 +0000 2025;PEMIMPIN MODEL KAYAK GINI SEHARUSNYA DI GANTUNG MATI SAJA.... 6 PEMIMPIN TERKORUP TAHUN 2024 VERSI OCCRP... #JokowiTerkorupOCCRP #JokowiTerkorupOCCRP 🆘🆗 https://t.co/1XDrXcIfLA;intoleran
ArdieSuhardi321;Wed Jan 01 03:32:11 +0000 2025;SEGERA TANGKAP DAN ADILI JOKOWI SEKARANG JUGA... JOKOWI MASUK DAFTAR TOKOH DUNIA PALING KORUP TAHUN 2024 VERSI OCCRP....‼️ #JokowiTerkorupOCCRP #JokowiTerkorupOCCRP 🆘🆗 https://t.co/MeIQuP1d2i;intoleran
ArdieSuhardi321;Tue Dec 31 04:21:57 +0000 2024;CONNIE.... JANGAN SAMPAI KITA PUNYA PEMIMPIN BERTIPE SEPERTI ZELESKI KEDUA DAN MULYONO BARU....‼️ #HakimKorupHarusMati #HakimKorupHarusMati 🆘🆗 https://t.co/RYVmwYkOfL;intoleran
ArdieSuhardi321;Tue Dec 31 04:11:35 +0000 2024;BELUM GENAP 1 TAHUN SUDAH GELAPKAN UANG NEGARA.... GIBRAN DISEBUT LAKUKAN KUNJUNGAN PAKAI UANG PAJAK DOKTER TIFA NGAMUK HINGGA MENTION PRABOWO JENGKEL TO THE MAX....‼️ #HakimKorupHarusMati #HakimKorupHarusMati 🆘🆗 https://t.co/BsbSmBM9IY;intoleran
ArdieSuhardi321;Mon Dec 30 02:32:38 +0000 2024;KELICIKAN DAN KETAMAKAN SI RAJA JAWA... RAJA TAMAK YANG SELALU INGIN BERKUASA MESKI UUD TAK MEMPERBOLEHKANNYA.....‼️ #TumpasKorupsiEdan #TumpasKorupsiEdan 🆘🆗 https://t.co/CFquG3I8M5;intoleran
